City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,lima,-12.0432,-77.0282,24.94,75,0,5.66,PE,1675741165
260,veraval,20.9,70.3667,22.75,62,4,3.7,IN,1675741166
261,coahuayana,18.7333,-103.6833,21.19,92,63,1.3,MX,1675741166
262,edd,13.9297,41.6925,26.44,44,34,3.94,ER,1675741167
263,ithaca,42.4406,-76.4966,-0.36,81,100,2.06,US,1675741167
264,berlevag,70.8578,29.0864,5.0,75,100,13.38,NO,1675740789
265,sao filipe,14.8961,-24.4956,19.9,65,39,7.45,CV,1675740869
266,longyearbyen,78.2186,15.6401,-1.09,80,100,10.29,SJ,1675740903
267,bardiyah,31.7561,25.0865,9.73,75,59,5.31,LY,1675741170
268,nishihara,26.1842,127.7558,21.81,81,75,5.66,JP,1675740830
269,nacala,-14.5428,40.6728,24.09,91,99,2.48,MZ,1675741172
270,tiksi,71.6872,128.8694,-32.08,100,100,1.39,RU,1675740757
271,waverly,42.7392,-84.6208,-0.95,85,0,7.72,US,1675741120
272,inhambane,-23.865,35.3833,24.51,86,82,2.37,MZ,1675741173
273,wawa,9.9022,4.4192,25.98,23,100,1.07,NG,1675741174
274,fairbanks,64.8378,-147.7164,-15.84,82,0,1.54,US,1675740777
275,rafaela,-31.2503,-61.4867,26.1,31,0,3.25,AR,1675741174
276,saskylakh,71.9167,114.0833,-38.25,100,100,0.79,RU,1675740806
277,okha,53.5739,142.9478,-21.66,88,93,4.65,RU,1675741175
278,ulaanbaatar,47.9077,106.8832,-20.93,77,32,0.0,MN,1675741176
279,havre-saint-pierre,50.2334,-63.5986,-13.0,77,0,2.06,CA,1675741177
280,racine,42.7495,-88.0751,5.62,78,100,2.57,US,1675741123
281,dourdan,48.5277,2.0111,1.47,87,6,4.91,FR,1675741178
282,mansa,29.9833,75.3833,17.35,46,0,4.38,IN,1675741179
283,rio brilhante,-21.8019,-54.5464,21.45,93,98,1.57,BR,1675741180
284,rio grande,-32.035,-52.0986,22.25,77,48,3.78,BR,1675741181
285,ribeira grande,38.5167,-28.7,13.76,67,92,7.15,PT,1675740751
286,shingu,33.7333,135.9833,13.17,63,98,2.63,JP,1675741182
287,mitsamiouli,-11.3847,43.2844,27.34,79,100,4.32,KM,1675741183
288,nokaneng,-19.6667,22.2667,19.41,93,100,1.25,BW,1675741183
289,male,4.1748,73.5089,27.97,83,75,3.6,MV,1675741184
290,villa maria,-32.4075,-63.2402,20.46,69,0,3.15,AR,1675741184
291,lagoa,39.05,-27.9833,13.03,66,100,9.64,PT,1675740761
292,prince rupert,54.3161,-130.3201,3.83,93,40,2.06,CA,1675741012
293,bemidji,47.4736,-94.8803,0.1,91,100,3.09,US,1675741185
294,coquimbo,-29.9533,-71.3436,17.85,88,100,1.54,CL,1675741060
295,uruzgan,32.8333,66.0,1.6,34,99,3.29,AF,1675741186
296,garissa,-0.4536,39.6401,23.33,82,26,1.51,KE,1675741187
297,mehamn,71.0357,27.8492,4.97,81,100,11.32,NO,1675741187
298,bilgoraj,50.5411,22.722,-5.19,96,88,2.48,PL,1675741188
299,lebowakgomo,-24.2,29.5,18.5,82,3,1.02,ZA,1675741188
300,chipinge,-20.1883,32.6236,16.63,71,28,0.57,ZW,1675741189
301,matara,5.9485,80.5353,26.14,82,100,2.34,LK,1675741190
302,naron,43.5167,-8.1528,7.79,81,0,4.75,ES,1675741190
303,katsuura,35.1333,140.3,14.06,54,61,3.17,JP,1675740931
304,guerrero negro,27.9769,-114.0611,16.06,35,54,5.33,MX,1675741192
305,half moon bay,37.4636,-122.4286,12.4,67,0,5.14,US,1675740637
306,dzilam gonzalez,21.2833,-88.9333,20.96,86,15,2.58,MX,1675741193
307,jasidih,24.5167,86.65,22.81,28,0,2.11,IN,1675741193
308,saint-augustin,51.226,-58.6502,-24.83,86,7,3.53,CA,1675741194
309,waipawa,-41.4122,175.5153,22.99,48,1,2.5,NZ,1675741194
310,barentu,15.1139,37.5928,18.17,76,65,2.06,ER,1675741195
311,hovd,48.0056,91.6419,-14.2,82,22,1.07,MN,1675741196
312,truth or consequences,33.1284,-107.2528,8.13,36,0,6.17,US,1675741197
313,quatre cocos,-20.2078,57.7625,26.72,77,46,7.12,MU,1675741198
314,oksfjord,70.2396,22.3479,8.04,99,100,3.84,NO,1675741199
315,moratuwa,6.773,79.8816,26.01,81,100,2.92,LK,1675741200
316,shirokiy,49.758,129.523,-15.37,85,100,3.48,RU,1675741203
317,rosarito,32.3333,-117.0333,13.53,58,0,3.38,MX,1675741204
318,solnechnyy,50.7214,136.6319,-15.48,82,97,1.31,RU,1675741205
319,harrison,30.4091,-89.0436,16.04,81,0,4.12,US,1675741178
320,lexington,37.9887,-84.4777,7.0,54,0,3.6,US,1675741082
321,provideniya,64.3833,-173.3,-19.94,59,40,5.0,RU,1675741206
